"x","y"
"4644.580583","8.99E-16"
"4646.435996","1.13E-15"
"4648.291408","1.56E-15"
"4650.146821","1.31E-15"
"4652.002233","1.17E-15"
"4653.857646","1.15E-15"
"4655.713058","1.02E-15"
"4657.568471","1.27E-15"
"4659.423883","1.48E-15"
"4661.279296","1.36E-15"
"4663.134708","1.07E-15"
"4664.990121","1.05E-15"
"4666.845533","1.24E-15"
"4668.700946","9.22E-16"
"4670.556358","8.29E-16"
"4672.411771","1.16E-15"
"4674.267183","1.24E-15"
"4676.122596","8.88E-16"
"4677.978008","8.66E-16"
"4679.833421","1.27E-15"
"4681.688833","2.49E-15"
"4683.544245","1.09E-14"
"4685.399658","2.47E-14"
"4687.25507","3.00E-14"
"4689.110483","2.23E-14"
"4690.965895","8.87E-15"
"4692.821308","2.62E-15"
"4694.67672","1.53E-15"
"4696.532133","1.36E-15"
"4698.387545","8.86E-16"
"4700.242958","9.57E-16"
"4702.09837","5.10E-16"
"4703.953783","1.02E-15"
"4705.809195","1.02E-15"
"4707.664608","1.12E-15"
"4709.52002","2.42E-15"
"4711.375433","4.16E-15"
"4713.230845","4.62E-15"
"4715.086258","3.94E-15"
"4716.94167","2.19E-15"
"4718.797083","1.31E-15"
"4720.652495","9.99E-16"
"4722.507908","1.14E-15"
"4724.36332","1.36E-15"
"4726.218733","1.48E-15"
"4728.074145","1.49E-15"
"4729.929558","1.30E-15"
"4731.78497","9.05E-16"
"4733.640383","1.09E-15"
"4735.495795","1.12E-15"
"4737.351208","1.51E-15"
"4739.20662","2.86E-15"
"4741.062033","3.78E-15"
"4742.917445","3.73E-15"
"4744.772858","2.75E-15"
"4746.62827","1.47E-15"
"4748.483683","8.94E-16"
"4750.339095","6.32E-16"
"4752.194508","6.75E-16"
"4754.04992","1.01E-15"
"4755.905333","9.45E-16"
"4757.760745","8.00E-16"
"4759.616158","9.50E-16"
"4761.47157","1.13E-15"
"4763.326983","1.05E-15"
"4765.182395","7.14E-16"
"4767.037808","7.58E-16"
"4768.89322","8.86E-16"
"4770.748633","1.04E-15"
"4772.604045","1.02E-15"
"4774.459458","8.42E-16"
"4776.31487","8.18E-16"
"4778.170283","8.57E-16"
"4780.025695","9.33E-16"
"4781.881108","1.01E-15"
"4783.73652","1.07E-15"
"4785.591933","1.12E-15"
"4787.447345","1.18E-15"
"4789.302758","9.50E-16"
"4791.15817","7.57E-16"
"4793.013583","1.36E-15"
"4794.868995","1.21E-15"
"4796.724408","1.00E-15"
"4798.57982","8.77E-16"
"4800.435233","7.14E-16"
"4802.290645","9.18E-16"
"4804.146058","9.70E-16"
"4806.00147","9.81E-16"
"4807.856883","7.88E-16"
"4809.712295","9.72E-16"
"4811.567708","1.05E-15"
"4813.42312","7.16E-16"
"4815.278533","7.86E-16"
"4817.133945","1.22E-15"
"4818.989358","1.03E-15"
"4820.84477","9.77E-16"
"4822.700183","1.01E-15"
"4824.555595","1.02E-15"
"4826.411008","1.02E-15"
"4828.26642","8.34E-16"
"4830.121833","9.87E-16"
"4831.977245","1.03E-15"
"4833.832658","1.04E-15"
"4835.68807","1.06E-15"
"4837.543483","1.10E-15"
"4839.398895","9.26E-16"
"4841.254308","1.06E-15"
"4843.10972","9.46E-16"
"4844.965133","1.06E-15"
"4846.820545","1.25E-15"
"4848.675958","1.25E-15"
"4850.53137","1.16E-15"
"4852.386783","1.10E-15"
"4854.242195","1.16E-15"
"4856.097608","1.45E-15"
"4857.95302","5.01E-15"
"4859.808433","1.62E-14"
"4861.663845","2.77E-14"
"4863.519258","2.77E-14"
"4865.37467","1.59E-14"
"4867.230083","4.85E-15"
"4869.085495","1.71E-15"
"4870.940908","1.03E-15"
"4872.79632","1.09E-15"
"4874.651733","1.03E-15"
"4876.507145","9.71E-16"
"4878.362558","9.08E-16"
"4880.21797","8.60E-16"
"4882.073383","1.19E-15"
"4883.928795","1.16E-15"
